_index,_type,_id,_score,_source/uuid
news_articles,_doc,vajxeHEBQ7bCTl73xak2,24.622839,b5a59c255dad22341bd5ed660a2c1dc8b6a2b69d
news_articles,_doc,YKrzeHEBQ7bCTl73Bwqh,24.46945,757fd84195935460bea38d5cbc5ef72945156c36
news_articles,_doc,pKjxeHEBQ7bCTl73k13E,24.278278,8ac7ce334c8bf644e9f7288aef2fc60bc6e5edd7
news_articles,_doc,nKjxeHEBQ7bCTl73YjB8,24.266035,e3f8f41a258ded057c3e1849599387a9fcd83d48
news_articles,_doc,26fxeHEBQ7bCTl73NfJJ,24.236788,e9d0fd0648c87d1205a0b57dcdfde40ca8b69d95
news_articles,_doc,OKnyeHEBQ7bCTl731rAm,24.23285,33699aa31e4d9e80a4c9eb2ac1ed0ba0a34c6e63
news_articles,_doc,EqnyeHEBQ7bCTl73Lxhu,24.220198,a7e107dabb22e82ccdec66b87ce15f11ec2b6867
news_articles,_doc,kanyeHEBQ7bCTl731p0l,24.186329,e1687a5b14a6a21c07af3d9df48703ef42168474
news_articles,_doc,KqnyeHEBQ7bCTl73mmjt,24.174103,603b83c9c1bd1859aadd3cdd02c399cc35bd8c54
news_articles,_doc,LanyeHEBQ7bCTl73ZS_2,24.17129,f59fe159096c051c1476f76e124848a9f449af2a
news_articles,_doc,NKnyeHEBQ7bCTl73ZS_2,24.17129,f78d94fc6ca7350548b7197503abe79e506cbbb6
news_articles,_doc,earzeHEBQ7bCTl73ODMI,24.070568,a56751c69694cf15dc95ed7f9e180fececceb1b1
news_articles,_doc,PqnzeHEBQ7bCTl73B9Sd,24.054743,dd8438fc4c6727d3b8b7803d08dc45fd22797d42
news_articles,_doc,rKrzeHEBQ7bCTl73OEYK,24.016527,5b01c7de5ed2fbfd7a584171f82b7f2f9c532fae
news_articles,_doc,kqr0eHEBQ7bCTl73C_6e,24.00033,c98c72d6b37c172e74138a222d3af10eb8c9735b
news_articles,_doc,AqfxeHEBQ7bCTl73NclD,23.97679,8afc1c7feb092a696b392640943faf21796cd425
news_articles,_doc,i6rzeHEBQ7bCTl73OBIG,23.936863,ff154f0f5052e9318a73987f132f7f039269fcb6
news_articles,_doc,c6rzeHEBQ7bCTl73lq3d,23.884987,3d58393498d8026f235a1489689f3a124dd0ec9b
news_articles,_doc,gKjxeHEBQ7bCTl73k0HB,23.883028,0be7e61b7ca4d7e4b8d2eb6bf13fd7f362cc2121
news_articles,_doc,pqv0eHEBQ7bCTl73Cwmf,23.842043,55cd98b8254d2218660ec010322b2a65823bce79
news_articles,_doc,A6rzeHEBQ7bCTl73lpbc,23.83808,fc0bdcf14643b184fb01c9996abf6bb5ce4de1b1
news_articles,_doc,bav0eHEBQ7bCTl730Mtf,23.796616,b113608e1c5cc2505f815c3d3954a9df49c702f9
news_articles,_doc,96v0eHEBQ7bCTl73mIQh,23.623188,b929431589e65fdacb06e00cf50e31b5324e5f5d
news_articles,_doc,s6nzeHEBQ7bCTl73B9Od,23.516766,2d2c3eb9838be6d33ce414c0b87b3a6035f70bde
news_articles,_doc,-6rzeHEBQ7bCTl73zdll,23.492355,8553abd9a9bca8d10d9aa0010b2691d899ba5455
news_articles,_doc,CKrzeHEBQ7bCTl73Bwyh,23.473513,30a19257a4c7a2390da2392a4ebe9b85f7fd6067
news_articles,_doc,_afweHEBQ7bCTl732VTr,23.456299,e363dd4b253f77823b55517af2206299c5a0d27d
news_articles,_doc,IanyeHEBQ7bCTl73monv,23.44914,2d1767a5b25a1ea6b42a591503e9f0579757d988
news_articles,_doc,SKnyeHEBQ7bCTl73ZUD4,23.424665,9c3d9ca6f51a6d35103704d156692f0eac1225b1
news_articles,_doc,xav0eHEBQ7bCTl73Cwmf,23.400345,770c97be77bb989650b3b958130970511a7e16b3
news_articles,_doc,kKnyeHEBQ7bCTl73ZTP3,23.346975,0f3024ae02ca19a80ea30b2e01ead12d2575835a
news_articles,_doc,UqrzeHEBQ7bCTl73BwOg,23.27876,ee2c29aa9acd9dfce537bfa537cad0508645a243
news_articles,_doc,pKrzeHEBQ7bCTl73lojb,23.276724,669ab2ff5b73f7ace50ed920a8c4d68346f88608
news_articles,_doc,WqnyeHEBQ7bCTl731rcn,23.245766,3c24ed168cfe04aec4af395c3ffe01ef1b35b755
