UUID Solr;UUID Elastic;UUID Manticore;Wszystkie;Wszystkie (bez duplikatów);Relewantny globalnie;Rel w Solr;Rel w Elast;Rel W Mant;;TP Solr;FP Solr;FN Solr;TN Solr;;TP Elastic;FP Elastic;FN Elastic;TN Elastic;;TP Manticore;FP Manti;FN Manti;TN Manti;;;;;;;;;;
61ac325351f0c61b42760944098ce49e08857307;b80b381a43ae7a225cde1ddc3126be7acb6bae74; b140f6ef731a5ab40d2bc8a0e25ab09733c42a2a;61ac325351f0c61b42760944098ce49e08857307;61ac325351f0c61b42760944098ce49e08857307;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
15eab048b7f4ff53bef556d69982590af412f6af;31fb84d61e0c8b9ea39b4c5033212b43dd69ea00; a879081159d978512024215199e31f9f4f143352;15eab048b7f4ff53bef556d69982590af412f6af;15eab048b7f4ff53bef556d69982590af412f6af;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
ab6e44bdd5c42ea49a7663f9afa7951be9dc2ed1;d41284eb8683217f2c2aa61e78ba45a63ce9c533; a400557c5f4345698e908851dfac8a79061bd7b2;ab6e44bdd5c42ea49a7663f9afa7951be9dc2ed1;ab6e44bdd5c42ea49a7663f9afa7951be9dc2ed1;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
1c5b018d0b72b20356c0862f12e944dbfc632de0;00ca0e16cafd5dd9f2ee82ae11ec1449d6dd171a; 97cc9528196084f7a582ed51df73a8e41a58361e;1c5b018d0b72b20356c0862f12e944dbfc632de0;1c5b018d0b72b20356c0862f12e944dbfc632de0;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
e332c61b00c533790f9d817032f64ad7cca29c11;5066ade47a1aaae1f6d980bb24e388fee1598520; f2d05f574330395a16fcf0cdddbcdefb162ac8e5;e332c61b00c533790f9d817032f64ad7cca29c11;e332c61b00c533790f9d817032f64ad7cca29c11;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
127c29eca4b2b3f614b8b3f74e67c4790bba065e;15503b04c5e4757aa00a6a4aa89a0508a2b58e1a; ac237540149d14757634daa08fc697dac3bf2f01;127c29eca4b2b3f614b8b3f74e67c4790bba065e;127c29eca4b2b3f614b8b3f74e67c4790bba065e;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
ca2e6de361558045c2433fe72257a3a6c5aaec20;fd215e367d69e4bac159804a4bade9c9f9854ab0; d0b1d5a0347505a438d20c1755c6f461822f67ab;ca2e6de361558045c2433fe72257a3a6c5aaec20;ca2e6de361558045c2433fe72257a3a6c5aaec20;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
e8371a11718c0049032d8caf06f97a0a92a2c888;e2ea7bd544748ea6988dbeb9ae780222e4943bfb; b9fa977f76c93b5d32bf7f939a5571019c71747d;e8371a11718c0049032d8caf06f97a0a92a2c888;e8371a11718c0049032d8caf06f97a0a92a2c888;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
1b5b1b37445a420855d272c726a9037421a5e8fe;c5b41555fb4fe8cede660de951807ec0f37e6809; 5cf4874654d45ea7e3602e7eaf6778f551b61a52;1b5b1b37445a420855d272c726a9037421a5e8fe;1b5b1b37445a420855d272c726a9037421a5e8fe;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
f9ffdea046f7385cf78725e29beac9efbd764f44;3964e4110a64f18a344f1b916b7e04b93d66f1b3; e35f05c1cdffa12e897b9d577d8f3f148e6f8e0f;f9ffdea046f7385cf78725e29beac9efbd764f44;f9ffdea046f7385cf78725e29beac9efbd764f44;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
