_index,_type,_id,_score,_source/uuid
news_articles,_doc,iKjxeHEBQ7bCTl73k1rE,6.6928234,f5beae4c075c70ca0fe8f7deaf223634f500a600
news_articles,_doc,2afxeHEBQ7bCTl73CKaQ,6.406266,0494e55498070a81fd95e4e7d819b9ffd64ece8c
news_articles,_doc,t6rzeHEBQ7bCTl73zfZn,6.2878,e7711887124cbbd6db39321281505fff80cd022a
news_articles,_doc,k6jxeHEBQ7bCTl73xZU1,6.25362,4629ccec4ee726576e2466754b1400128c131817
news_articles,_doc,_KnzeHEBQ7bCTl73B9md,6.25362,e0b0199a2e2fb6c5de125b714732d476197a8642
news_articles,_doc,JqjxeHEBQ7bCTl73-r4S,6.2224474,f671ae7fc4f3a9374fa7926d199f85182b777cd2
news_articles,_doc,i6jxeHEBQ7bCTl73xYEx,6.1526804,9055d062bfbe949ce5d0c961426f70a521a00c50
news_articles,_doc,marzeHEBQ7bCTl73ODEI,6.1526804,18f38ea0847b35a791ba9f6ed6edec9b96a584ac
news_articles,_doc,Jav0eHEBQ7bCTl73mJsj,6.1526804,3a3576b77461a92f71d5d9a7ca439868b898c9be
news_articles,_doc,_qjxeHEBQ7bCTl73-sIS,6.054948,2163c7867f0278ee631cbba752674325df67b024
news_articles,_doc,nKnyeHEBQ7bCTl731rgn,6.054948,e5a2795031b726699095493bd1ff68a0d896be0e
news_articles,_doc,L6nzeHEBQ7bCTl73B-qf,6.054948,6c7173bb35ba6896f3dc852f178c1f5cfe6c9074
news_articles,_doc,Q6rzeHEBQ7bCTl73lrne,6.054948,2e1fc6520daa6c93b9ea897061be500f461db666
news_articles,_doc,zKv0eHEBQ7bCTl73CwWf,6.054948,4716ac2dafc714c60db37fe6d3d3deab2610d0e5
news_articles,_doc,K6fxeHEBQ7bCTl73NdZF,5.960272,b92e4a7bdc12cd4de27f3fd1ca6045656c6eab7e
news_articles,_doc,76fxeHEBQ7bCTl73Yv5w,5.960272,a728519ea62d439c51bdfe7a099f142a36fb37a7
news_articles,_doc,D6jxeHEBQ7bCTl73YjJ8,5.960272,b3316520909657bb4de3e595814ae80b535eeb24
news_articles,_doc,MajxeHEBQ7bCTl73k0PC,5.960272,389b9a21e32fceb16b941324b6fcb5c32d032ca5
news_articles,_doc,qajxeHEBQ7bCTl73k0TC,5.960272,256c4d92bc022bd5ccaaa6ce72d708f520001dc0
news_articles,_doc,bKjxeHEBQ7bCTl73k2DF,5.960272,78438febf07fbff133cfc267755b70e3dee1c0bb
news_articles,_doc,-ajxeHEBQ7bCTl73k2zG,5.960272,dde160927e247d4771d69c4124a142be8b4c067f
news_articles,_doc,uKjxeHEBQ7bCTl73xX4x,5.960272,71b69b96bf98c3846d4f40f13ec954cca9af2d86
news_articles,_doc,qanyeHEBQ7bCTl731rsn,5.960272,2fcfbdd16b5e4f86ccfe6e5b57366f3785513d3c
news_articles,_doc,KKnzeHEBQ7bCTl73B-qf,5.960272,565c8014051090e8b1a9e8a374c9d7256a9c0f21
news_articles,_doc,E6rzeHEBQ7bCTl73OBQG,5.960272,1ef82b049d3e43c554946460b593bee7d3c7c5fa
news_articles,_doc,mKrzeHEBQ7bCTl73lpfc,5.960272,1a625c1fa21fd6b5722d7267efe9106abdc84ca8
news_articles,_doc,GKv0eHEBQ7bCTl73mJYi,5.960272,a0bcefcc9374e42988c58ab8c84fb6c597a2e6f2
news_articles,_doc,sajxeHEBQ7bCTl73xaQ2,5.884738,8c2b9378d9c219c2bd6d60880d6a309d1690455a
news_articles,_doc,EajxeHEBQ7bCTl73xak2,5.884738,8133dd4217fe780a23ffa049e728ede099f9ff4f
news_articles,_doc,TajxeHEBQ7bCTl73-tIU,5.884738,231dc6aae2ba7a855cda99b0b548da27ecf198f5
news_articles,_doc,aqfweHEBQ7bCTl732Xbw,5.8685102,dbdb627abda181ea758dfcec86065c5087928541
news_articles,_doc,KqfxeHEBQ7bCTl73CK6V,5.8685102,7ceae7fa5f2675c091734622866ae41a3838e1fa
news_articles,_doc,-qfxeHEBQ7bCTl73NflK,5.8685102,1e4e186dc850f47bdfe247c77e6d5760a7970d9a
news_articles,_doc,5ajxeHEBQ7bCTl73Yil7,5.8685102,6d3d565bb5ee1ad15031837d33b290d74dfc2e7e
news_articles,_doc,xqjxeHEBQ7bCTl73kz7B,5.8685102,8dcf37c53f0668b65ff6eab667d52e12d6a788cc
news_articles,_doc,-ajxeHEBQ7bCTl73k1_F,5.8685102,d6e24a3fc69c83e2997d4404e62e65ae3e5d11d2
news_articles,_doc,DKjxeHEBQ7bCTl73xYMx,5.8685102,47405bfb2aaf321c4294b5cb7a6ff184c932c72e
news_articles,_doc,EajxeHEBQ7bCTl73xYUy,5.8685102,8cfc490ebbfc7d83c91b72cba8c1c3c8b3ba7242
news_articles,_doc,uKjxeHEBQ7bCTl73-tUV,5.8685102,02b7aa4d7d11b42e8544e73ad63689532742e2e2
